日期,股票代码,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover,stock_code,date
2020-01-02,000001,14.18,14.4,14.48,14.08,1530232,2571196480.0,2.86,3.0,0.42,0.79,000001,2020-01-02
2020-01-03,000001,14.47,14.71,14.84,14.45,1116195,1914495472.0,2.71,2.15,0.31,0.58,000001,2020-01-03
2020-01-06,000001,14.54,14.6,14.87,14.44,862084,1477930192.0,2.92,-0.75,-0.11,0.44,000001,2020-01-06
2020-01-07,000001,14.66,14.68,14.81,14.48,728608,1247047136.0,2.26,0.55,0.08,0.38,000001,2020-01-07
2020-01-08,000001,14.53,14.19,14.58,14.16,847824,1423608816.0,2.86,-3.34,-0.49,0.44,000001,2020-01-08
2020-01-09,000001,14.34,14.32,14.46,14.06,1031637,1725326800.0,2.82,0.92,0.13,0.53,000001,2020-01-09
2020-01-10,000001,14.32,14.22,14.34,14.05,585548,975154816.0,2.03,-0.7,-0.1,0.3,000001,2020-01-10
2020-01-13,000001,14.28,14.52,14.56,14.14,872133,1468271680.0,2.95,2.11,0.3,0.45,000001,2020-01-13
2020-01-14,000001,14.52,14.29,14.8,14.29,1304494,2217608848.0,3.51,-1.58,-0.23,0.67,000001,2020-01-14
2020-01-15,000001,14.32,14.05,14.39,13.98,859439,1424889232.0,2.87,-1.68,-0.24,0.44,000001,2020-01-15
2020-01-16,000001,14.05,13.86,14.1,13.73,1028105,1678888512.0,2.63,-1.35,-0.19,0.53,000001,2020-01-16
2020-01-17,000001,13.91,13.92,14.08,13.88,605437,995909008.0,1.44,0.43,0.06,0.31,000001,2020-01-17
2020-01-20,000001,13.96,13.98,14.14,13.88,746075,1226464656.0,1.87,0.43,0.06,0.38,000001,2020-01-20
2020-01-21,000001,13.87,13.53,13.87,13.46,896603,1442171424.0,2.93,-3.22,-0.45,0.46,000001,2020-01-21
2020-01-22,000001,13.45,13.62,13.69,13.24,719465,1150933392.0,3.33,0.67,0.09,0.37,000001,2020-01-22
2020-01-23,000001,13.45,13.07,13.45,12.92,1100592,1723394336.0,3.89,-4.04,-0.55,0.57,000001,2020-01-23
2020-02-03,000001,11.52,11.52,12.23,11.52,2259195,3201454160.0,5.43,-11.86,-1.55,1.16,000001,2020-02-03
2020-02-04,000001,11.58,12.13,12.19,11.55,1706172,2442932848.0,5.56,5.3,0.61,0.88,000001,2020-02-04
2020-02-05,000001,12.12,12.16,12.42,11.85,1491380,2177632048.0,4.7,0.25,0.03,0.77,000001,2020-02-05
2020-02-06,000001,12.34,12.3,12.4,12.04,1185816,1740107632.0,2.96,1.15,0.14,0.61,000001,2020-02-06
2020-02-07,000001,12.13,12.15,12.22,11.94,924853,1345053248.0,2.28,-1.22,-0.15,0.48,000001,2020-02-07
2020-02-10,000001,12.04,12.03,12.06,11.83,1339495,1931983488.0,1.89,-0.99,-0.12,0.69,000001,2020-02-10
2020-02-11,000001,12.13,12.32,12.47,12.09,1407507,2077194144.0,3.16,2.41,0.29,0.73,000001,2020-02-11
2020-02-12,000001,12.32,12.3,12.35,12.13,1070503,1573229040.0,1.79,-0.16,-0.02,0.55,000001,2020-02-12
2020-02-13,000001,12.24,12.18,12.41,12.14,1013205,1491327712.0,2.2,-0.98,-0.12,0.52,000001,2020-02-13
2020-02-14,000001,12.28,12.56,12.67,12.23,1512435,2253906448.0,3.61,3.12,0.38,0.78,000001,2020-02-14
2020-02-17,000001,12.57,12.9,12.9,12.46,1543696,2337993584.0,3.5,2.71,0.34,0.8,000001,2020-02-17
2020-02-18,000001,12.86,12.73,12.86,12.54,973612,1478274224.0,2.48,-1.32,-0.17,0.5,000001,2020-02-18
2020-02-19,000001,12.63,12.77,12.9,12.61,874107,1333730224.0,2.28,0.31,0.04,0.45,000001,2020-02-19
2020-02-20,000001,12.8,13.12,13.15,12.63,1235444,1897923024.0,4.07,2.74,0.35,0.64,000001,2020-02-20
2020-02-21,000001,13.02,13.11,13.25,12.98,995071,1546692928.0,2.06,-0.08,-0.01,0.51,000001,2020-02-21
2020-02-24,000001,12.99,12.76,12.99,12.68,1191795,1820183856.0,2.36,-2.67,-0.35,0.61,000001,2020-02-24
2020-02-25,000001,12.53,12.57,12.66,12.31,1144575,1710369792.0,2.74,-1.49,-0.19,0.59,000001,2020-02-25
2020-02-26,000001,12.3,12.52,12.8,12.23,1176599,1769612240.0,4.53,-0.4,-0.05,0.61,000001,2020-02-26
2020-02-27,000001,12.49,12.64,12.68,12.42,975271,1464605744.0,2.08,0.96,0.12,0.5,000001,2020-02-27
2020-02-28,000001,12.38,12.03,12.57,11.99,1300644,1906892416.0,4.59,-4.83,-0.61,0.67,000001,2020-02-28
2020-03-02,000001,12.08,12.32,12.48,11.99,1116581,1647432272.0,4.07,2.41,0.29,0.58,000001,2020-03-02
2020-03-03,000001,12.49,12.25,12.52,12.16,1153584,1705816272.0,2.92,-0.57,-0.07,0.59,000001,2020-03-03
2020-03-04,000001,12.21,12.22,12.31,12.04,862595,1261123056.0,2.2,-0.24,-0.03,0.44,000001,2020-03-04
2020-03-05,000001,12.33,12.92,13.17,12.26,2686602,4089493520.0,7.45,5.73,0.7,1.38,000001,2020-03-05
2020-03-06,000001,12.71,12.56,12.8,12.55,1228531,1858691264.0,1.93,-2.79,-0.36,0.63,000001,2020-03-06
2020-03-09,000001,12.24,11.98,12.26,11.95,1665794,2420392128.0,2.47,-4.62,-0.58,0.86,000001,2020-03-09
2020-03-10,000001,11.91,12.29,12.38,11.91,1167865,1709084560.0,3.92,2.59,0.31,0.6,000001,2020-03-10
2020-03-11,000001,12.3,12.22,12.41,12.15,814382,1201250688.0,2.12,-0.57,-0.07,0.42,000001,2020-03-11
2020-03-12,000001,12.18,12.21,12.37,12.06,986497,1447436640.0,2.54,-0.08,-0.01,0.51,000001,2020-03-12
2020-03-13,000001,11.43,12.05,12.11,11.43,1169766,1669009840.0,5.57,-1.31,-0.16,0.6,000001,2020-03-13
2020-03-16,000001,11.98,11.28,11.99,11.28,1406202,1975824192.0,5.89,-6.39,-0.77,0.72,000001,2020-03-16
2020-03-17,000001,11.28,10.94,11.5,10.66,1177849,1582506080.0,7.45,-3.01,-0.34,0.61,000001,2020-03-17
2020-03-18,000001,10.94,10.24,11.08,10.18,1384784,1816836896.0,8.23,-6.4,-0.7,0.71,000001,2020-03-18
2020-03-19,000001,10.21,9.76,10.27,9.44,1891457,2313863664.0,8.11,-4.69,-0.48,0.97,000001,2020-03-19
2020-03-20,000001,9.93,10.05,10.21,9.79,1578353,1967487824.0,4.3,2.97,0.29,0.81,000001,2020-03-20
2020-03-23,000001,9.53,9.68,9.88,9.46,1071114,1300469488.0,4.18,-3.68,-0.37,0.55,000001,2020-03-23
2020-03-24,000001,9.93,10.14,10.21,9.8,1180200,1472909392.0,4.24,4.75,0.46,0.61,000001,2020-03-24
2020-03-25,000001,10.41,10.4,10.6,10.23,1136958,1467534960.0,3.65,2.56,0.26,0.59,000001,2020-03-25
2020-03-26,000001,10.31,10.59,10.87,10.25,1075192,1408651056.0,5.96,1.83,0.19,0.55,000001,2020-03-26
2020-03-27,000001,10.78,10.68,10.91,10.61,653019,861618656.0,2.83,0.85,0.09,0.34,000001,2020-03-27
2020-03-30,000001,10.38,10.47,10.57,10.29,661739,852956240.0,2.62,-1.97,-0.21,0.34,000001,2020-03-30
2020-03-31,000001,10.58,10.33,10.62,10.31,513370,662915472.0,2.96,-1.34,-0.14,0.26,000001,2020-03-31
2020-04-01,000001,10.39,10.42,10.66,10.35,520836,676070112.0,3.0,0.87,0.09,0.27,000001,2020-04-01
2020-04-02,000001,10.28,10.5,10.5,10.19,518365,663197632.0,2.98,0.77,0.08,0.27,000001,2020-04-02
2020-04-03,000001,10.35,10.14,10.42,10.08,825348,1047282400.0,3.24,-3.43,-0.36,0.43,000001,2020-04-03
2020-04-07,000001,10.42,10.41,10.47,10.34,870314,1121200112.0,1.28,2.66,0.27,0.45,000001,2020-04-07
2020-04-08,000001,10.41,10.31,10.45,10.25,528716,676604880.0,1.92,-0.96,-0.1,0.27,000001,2020-04-08
2020-04-09,000001,10.41,10.27,10.42,10.25,408554,522027888.0,1.65,-0.39,-0.04,0.21,000001,2020-04-09
2020-04-10,000001,10.29,10.32,10.51,10.18,666675,853689952.0,3.21,0.49,0.05,0.34,000001,2020-04-10
2020-04-13,000001,10.2,10.12,10.24,10.0,446214,562008048.0,2.33,-1.94,-0.2,0.23,000001,2020-04-13
2020-04-14,000001,10.18,10.39,10.39,10.1,686087,874856560.0,2.87,2.67,0.27,0.35,000001,2020-04-14
2020-04-15,000001,10.39,10.4,10.46,10.31,656396,843649280.0,1.44,0.1,0.01,0.34,000001,2020-04-15
2020-04-16,000001,10.32,10.21,10.32,10.07,789155,997623824.0,2.4,-1.83,-0.19,0.41,000001,2020-04-16
2020-04-17,000001,10.3,10.42,10.57,10.18,1331165,1713215760.0,3.82,2.06,0.21,0.69,000001,2020-04-17
2020-04-20,000001,10.39,10.52,10.58,10.3,818456,1058524016.0,2.69,0.96,0.1,0.42,000001,2020-04-20
2020-04-21,000001,10.83,10.98,11.23,10.83,2122448,2861879088.0,3.8,4.37,0.46,1.09,000001,2020-04-21
2020-04-22,000001,10.9,10.76,10.95,10.69,1032803,1368222848.0,2.37,-2.0,-0.22,0.53,000001,2020-04-22
2020-04-23,000001,10.76,10.76,10.84,10.64,646990,855052112.0,1.86,0.0,0.0,0.33,000001,2020-04-23
2020-04-24,000001,10.7,10.77,10.81,10.64,566002,747473776.0,1.58,0.09,0.01,0.29,000001,2020-04-24
2020-04-27,000001,10.83,11.03,11.17,10.78,936830,1263809744.0,3.62,2.41,0.26,0.48,000001,2020-04-27
2020-04-28,000001,10.98,11.05,11.09,10.8,771564,1038718080.0,2.63,0.18,0.02,0.4,000001,2020-04-28
2020-04-29,000001,11.01,11.55,11.63,10.98,1108722,1541638208.0,5.88,4.52,0.5,0.57,000001,2020-04-29
2020-04-30,000001,11.55,11.46,11.85,11.41,819540,1155968240.0,3.81,-0.78,-0.09,0.42,000001,2020-04-30
2020-05-06,000001,11.29,11.3,11.42,11.14,1008998,1382727488.0,2.44,-1.4,-0.16,0.52,000001,2020-05-06
2020-05-07,000001,11.29,11.22,11.29,11.13,662749,904349536.0,1.42,-0.71,-0.08,0.34,000001,2020-05-07
2020-05-08,000001,11.29,11.48,11.55,11.21,934782,1297924592.0,3.03,2.32,0.26,0.48,000001,2020-05-08
2020-05-11,000001,11.45,11.53,11.66,11.43,612862,859156592.0,2.0,0.44,0.05,0.32,000001,2020-05-11
2020-05-12,000001,11.48,11.32,11.58,11.25,558511,772109504.0,2.86,-1.82,-0.21,0.29,000001,2020-05-12
